[2026-04-25 10:51:41] system | hermes.message | {"msg_id": "1777099901288-4971", "channel": "internal", "sender": "system", "blocked": true, "error": "SAFETY_BLOCKED:pattern:rm\\s+-rf", "payload_preview": "{\"action\": \"test\", \"payload\": \"rm -rf /\"}"}
[2026-04-25 10:51:41] system | hermes.message | {"msg_id": "1777099901288-4971", "channel": "internal", "sender": "system", "blocked": false, "error": "SAFETY_BLOCKED:pattern:rm\\s+-rf", "payload_preview": "{\"action\": \"test\", \"payload\": \"rm -rf /\"}"}
[2026-04-25 10:51:41] system | hermes.message | {"msg_id": "1777099901299-4703", "channel": "internal", "sender": "system", "blocked": false, "error": "NO_HANDLER for channel internal", "payload_preview": "{\"action\": \"audit.query\", \"limit\": 5}"}
[2026-04-25 10:51:41] system | hermes.message | {"msg_id": "1777099901310-2054", "channel": "internal", "sender": "system", "blocked": false, "error": "NO_HANDLER for channel internal", "payload_preview": "{\"event\": \"test\"}"}
[2026-04-25 10:51:41] system | hermes.message | {"msg_id": "1777099901321-7588", "channel": "webhook", "sender": "system", "blocked": false, "error": "NO_HANDLER for channel webhook", "payload_preview": "{\"event\": \"test\"}"}
[2026-04-25 10:51:41] system | hermes.message | {"msg_id": "1777099901332-7605", "channel": "fixfizx", "sender": "system", "blocked": false, "error": "NO_HANDLER for channel fixfizx", "payload_preview": "{\"lead_id\": \"L1\", \"tier\": \"A\"}"}
[2026-04-25 10:51:41] system | hermes.message | {"msg_id": "1777099901342-4875", "channel": "moltworker", "sender": "system", "blocked": false, "error": "NO_HANDLER for channel moltworker", "payload_preview": "{\"lead_id\": \"L1\", \"tier\": \"A\"}"}
[2026-04-25 10:51:41] system | hermes.message | {"msg_id": "1777099901353-4625", "channel": "agency", "sender": "system", "blocked": false, "error": "NO_HANDLER for channel agency", "payload_preview": "{\"lead_id\": \"L1\", \"tier\": \"A\"}"}
[2026-04-25 10:52:02] system | hermes.message | {"msg_id": "1777099922746-1999", "channel": "internal", "sender": "system", "blocked": true, "error": "SAFETY_BLOCKED:pattern:rm\\s+-rf", "payload_preview": "{\"action\": \"test\", \"payload\": \"rm -rf /\"}"}
[2026-04-25 10:52:02] system | hermes.message | {"msg_id": "1777099922746-1999", "channel": "internal", "sender": "system", "blocked": false, "error": "SAFETY_BLOCKED:pattern:rm\\s+-rf", "payload_preview": "{\"action\": \"test\", \"payload\": \"rm -rf /\"}"}
[2026-04-25 10:52:02] system | hermes.message | {"msg_id": "1777099922757-1555", "channel": "internal", "sender": "system", "blocked": false, "error": "NO_HANDLER for channel internal", "payload_preview": "{\"action\": \"audit.query\", \"limit\": 5}"}
[2026-04-25 10:52:02] system | hermes.message | {"msg_id": "1777099922768-1656", "channel": "internal", "sender": "system", "blocked": false, "error": "NO_HANDLER for channel internal", "payload_preview": "{\"event\": \"test\"}"}
[2026-04-25 10:52:02] system | hermes.message | {"msg_id": "1777099922779-8175", "channel": "webhook", "sender": "system", "blocked": false, "error": "NO_HANDLER for channel webhook", "payload_preview": "{\"event\": \"test\"}"}
[2026-04-25 10:52:02] system | hermes.message | {"msg_id": "1777099922789-4883", "channel": "fixfizx", "sender": "system", "blocked": false, "error": "NO_HANDLER for channel fixfizx", "payload_preview": "{\"lead_id\": \"L1\", \"tier\": \"A\"}"}
[2026-04-25 10:52:02] system | hermes.message | {"msg_id": "1777099922800-3723", "channel": "moltworker", "sender": "system", "blocked": false, "error": "NO_HANDLER for channel moltworker", "payload_preview": "{\"lead_id\": \"L1\", \"tier\": \"A\"}"}
[2026-04-25 10:52:02] system | hermes.message | {"msg_id": "1777099922811-8932", "channel": "agency", "sender": "system", "blocked": false, "error": "NO_HANDLER for channel agency", "payload_preview": "{\"lead_id\": \"L1\", \"tier\": \"A\"}"}
[2026-04-25 11:00:03] system | hermes.message | {"msg_id": "1777100403142-3995", "channel": "internal", "sender": "system", "blocked": true, "error": "SAFETY_BLOCKED:pattern:rm\\s+-rf", "payload_preview": "{\"action\": \"test\", \"payload\": \"rm -rf /\"}"}
[2026-04-25 11:00:03] system | hermes.message | {"msg_id": "1777100403142-3995", "channel": "internal", "sender": "system", "blocked": false, "error": "SAFETY_BLOCKED:pattern:rm\\s+-rf", "payload_preview": "{\"action\": \"test\", \"payload\": \"rm -rf /\"}"}
[2026-04-25 11:00:03] system | hermes.message | {"msg_id": "1777100403153-5441", "channel": "internal", "sender": "system", "blocked": false, "error": "NO_HANDLER for channel internal", "payload_preview": "{\"action\": \"audit.query\", \"limit\": 5}"}
[2026-04-25 11:00:03] system | hermes.message | {"msg_id": "1777100403164-1518", "channel": "internal", "sender": "system", "blocked": false, "error": "NO_HANDLER for channel internal", "payload_preview": "{\"event\": \"test\"}"}
[2026-04-25 11:00:03] system | hermes.message | {"msg_id": "1777100403174-4167", "channel": "webhook", "sender": "system", "blocked": false, "error": "NO_HANDLER for channel webhook", "payload_preview": "{\"event\": \"test\"}"}
[2026-04-25 11:00:03] system | hermes.message | {"msg_id": "1777100403185-9472", "channel": "fixfizx", "sender": "system", "blocked": false, "error": "NO_HANDLER for channel fixfizx", "payload_preview": "{\"lead_id\": \"L1\", \"tier\": \"A\"}"}
[2026-04-25 11:00:03] system | hermes.message | {"msg_id": "1777100403196-5978", "channel": "moltworker", "sender": "system", "blocked": false, "error": "NO_HANDLER for channel moltworker", "payload_preview": "{\"lead_id\": \"L1\", \"tier\": \"A\"}"}
[2026-04-25 11:00:03] system | hermes.message | {"msg_id": "1777100403207-8221", "channel": "agency", "sender": "system", "blocked": false, "error": "NO_HANDLER for channel agency", "payload_preview": "{\"lead_id\": \"L1\", \"tier\": \"A\"}"}
